Job Title,Company,Location,Description,Key Responsibilities,Skills Required,Preferred Experience,Keywords
Chief Operating Officer,CommandLink,"San Francisco, CA",Utilize machine learning and predictive analytics to enhance customer insights. This role requires expertise in KPI Management and experience leading high-performing teams in a fast-paced environment.,"Oversee call center operations and optimize support channels., Collaborate with cross-functional teams to improve customer experience., Develop and implement AI-driven customer engagement strategies.","CRM Platforms (Salesforce, Zendesk), Data Visualization, Team Leadership, CX Strategy, Operational Efficiency","5+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","AI & Machine Learning, Operational Efficiency, Predictive Analytics"
Head of Operations,Fort Health,"Seattle, WA",Develop strategic roadmaps for customer experience improvement. This role requires expertise in Process Improvement and experience leading high-performing teams in a fast-paced environment.,"Oversee call center operations and optimize support channels., Enhance operational efficiencies using data analytics., Collaborate with cross-functional teams to improve customer experience.","CRM Platforms (Salesforce, Zendesk), CX Strategy, KPI Management, Operational Efficiency, Process Improvement","7+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","KPI Management, Process Improvement, Team Leadership"
Customer Experience Manager,Galliant Care,"Seattle, WA",Utilize machine learning and predictive analytics to enhance customer insights. This role requires expertise in Process Improvement and experience leading high-performing teams in a fast-paced environment.,"Lead and oversee customer success initiatives., Implement automation tools for workflow optimization., Utilize machine learning and predictive analytics to enhance customer insights.","AI & Machine Learning, Process Improvement, Predictive Analytics, KPI Management, Data Visualization","15+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Customer Success, Data Visualization, Team Leadership"
Data Scientist - AI Department,Galliant Care,Remote,Utilize machine learning and predictive analytics to enhance customer insights. This role requires expertise in AI & Machine Learning and experience leading high-performing teams in a fast-paced environment.,"Lead and oversee customer success initiatives., Develop and implement AI-driven customer engagement strategies., Enhance operational efficiencies using data analytics.","CX Strategy, Predictive Analytics, Customer Success, Team Leadership, Process Improvement","5+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Customer Success, CRM Platforms (Salesforce, Zendesk), Data Visualization"
Chief Operating Officer,Amazon Web Services,Remote,Enhance operational efficiencies using data analytics. This role requires expertise in Operational Efficiency and experience leading high-performing teams in a fast-paced environment.,"Collaborate with cross-functional teams to improve customer experience., Enhance operational efficiencies using data analytics., Drive customer satisfaction and retention efforts.","Process Improvement, Data Visualization, Predictive Analytics, AI & Machine Learning, CX Strategy","11+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","AI & Machine Learning, Process Improvement, CX Strategy"
Senior Customer Success Manager,CSC Serviceworks,"Dallas, TX",Lead and oversee customer success initiatives. This role requires expertise in KPI Management and experience leading high-performing teams in a fast-paced environment.,"Enhance operational efficiencies using data analytics., Collaborate with cross-functional teams to improve customer experience., Develop and implement AI-driven customer engagement strategies.","CRM Platforms (Salesforce, Zendesk), Data Visualization, Team Leadership, CX Strategy, KPI Management","10+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Process Improvement, CRM Platforms (Salesforce, Zendesk), Data Visualization"
Infusion Customer Service Manager,MongoDB,"Seattle, WA",Enhance operational efficiencies using data analytics. This role requires expertise in Customer Success and experience leading high-performing teams in a fast-paced environment.,"Drive customer satisfaction and retention efforts., Implement automation tools for workflow optimization., Develop and implement AI-driven customer engagement strategies.","Predictive Analytics, Operational Efficiency, Customer Success, AI & Machine Learning, KPI Management","7+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Data Visualization, KPI Management, Process Improvement"
Infusion Customer Service Manager,Galliant Care,"Austin, TX",Enhance operational efficiencies using data analytics. This role requires expertise in Predictive Analytics and experience leading high-performing teams in a fast-paced environment.,"Utilize machine learning and predictive analytics to enhance customer insights., Lead and oversee customer success initiatives., Collaborate with cross-functional teams to improve customer experience.","Customer Success, CRM Platforms (Salesforce, Zendesk), CX Strategy, Data Visualization, AI & Machine Learning","15+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CRM Platforms (Salesforce, Zendesk), CX Strategy, Data Visualization"
Senior Customer Success Manager,Craftable,"Dallas, TX",Utilize machine learning and predictive analytics to enhance customer insights. This role requires expertise in Team Leadership and experience leading high-performing teams in a fast-paced environment.,"Utilize machine learning and predictive analytics to enhance customer insights., Develop strategic roadmaps for customer experience improvement., Enhance operational efficiencies using data analytics.","Customer Success, Operational Efficiency, Process Improvement, KPI Management, CRM Platforms (Salesforce, Zendesk)","15+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Team Leadership, CRM Platforms (Salesforce, Zendesk), Customer Success"
Call Center Director,HappyCo,"New York, NY",Enhance operational efficiencies using data analytics. This role requires expertise in Data Visualization and experience leading high-performing teams in a fast-paced environment.,"Collaborate with cross-functional teams to improve customer experience., Develop strategic roadmaps for customer experience improvement., Oversee call center operations and optimize support channels.","Process Improvement, KPI Management, Data Visualization, Customer Success, Predictive Analytics","13+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Predictive Analytics, Operational Efficiency, CRM Platforms (Salesforce, Zendesk)"
Data Scientist - AI Department,Amazon Web Services,"Seattle, WA",Implement automation tools for workflow optimization. This role requires expertise in Data Visualization and experience leading high-performing teams in a fast-paced environment.,"Enhance operational efficiencies using data analytics., Mentor and train teams in customer success best practices., Drive customer satisfaction and retention efforts.","Customer Success, CX Strategy, KPI Management, Process Improvement, Data Visualization","5+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","KPI Management, Operational Efficiency, Process Improvement"
Head of Operations,Amazon Web Services,"Dallas, TX",Develop and implement AI-driven customer engagement strategies. This role requires expertise in KPI Management and experience leading high-performing teams in a fast-paced environment.,"Mentor and train teams in customer success best practices., Develop and implement AI-driven customer engagement strategies., Collaborate with cross-functional teams to improve customer experience.","Data Visualization, Operational Efficiency, AI & Machine Learning, KPI Management, CX Strategy","9+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Team Leadership, Data Visualization, Predictive Analytics"
Head of Operations,CommandLink,"Seattle, WA",Implement automation tools for workflow optimization. This role requires expertise in Team Leadership and experience leading high-performing teams in a fast-paced environment.,"Utilize machine learning and predictive analytics to enhance customer insights., Implement automation tools for workflow optimization., Develop and implement AI-driven customer engagement strategies.","KPI Management, AI & Machine Learning, Process Improvement, CRM Platforms (Salesforce, Zendesk), Team Leadership","15+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Predictive Analytics, KPI Management, Data Visualization"
Director of Customer Support,"Vizient, Inc.","Dallas, TX",Enhance operational efficiencies using data analytics. This role requires expertise in Customer Success and experience leading high-performing teams in a fast-paced environment.,"Implement automation tools for workflow optimization., Mentor and train teams in customer success best practices., Lead and oversee customer success initiatives.","CX Strategy, Data Visualization, Process Improvement, KPI Management, Predictive Analytics","8+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","AI & Machine Learning, Customer Success, Process Improvement"
Senior AI Solutions Partner,Medix Infusion,"Chicago, IL",Develop strategic roadmaps for customer experience improvement. This role requires expertise in Customer Success and experience leading high-performing teams in a fast-paced environment.,"Utilize machine learning and predictive analytics to enhance customer insights., Develop and implement AI-driven customer engagement strategies., Lead and oversee customer success initiatives.","Operational Efficiency, CX Strategy, Customer Success, Process Improvement, Team Leadership","5+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CX Strategy, Customer Success, CRM Platforms (Salesforce, Zendesk)"
Data Scientist - AI Department,Qlik,Remote,Utilize machine learning and predictive analytics to enhance customer insights. This role requires expertise in Data Visualization and experience leading high-performing teams in a fast-paced environment.,"Drive customer satisfaction and retention efforts., Enhance operational efficiencies using data analytics., Oversee call center operations and optimize support channels.","Process Improvement, KPI Management, Predictive Analytics, Customer Success, Operational Efficiency","15+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CX Strategy, Operational Efficiency, Process Improvement"
Infusion Customer Service Manager,Signify Health,"Austin, TX",Implement automation tools for workflow optimization. This role requires expertise in CX Strategy and experience leading high-performing teams in a fast-paced environment.,"Utilize machine learning and predictive analytics to enhance customer insights., Drive customer satisfaction and retention efforts., Collaborate with cross-functional teams to improve customer experience.","Team Leadership, CX Strategy, CRM Platforms (Salesforce, Zendesk), Data Visualization, Process Improvement","5+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Operational Efficiency, AI & Machine Learning, Data Visualization"
"VP, Customer Success",MTM LLC,"Dallas, TX",Oversee call center operations and optimize support channels. This role requires expertise in Predictive Analytics and experience leading high-performing teams in a fast-paced environment.,"Utilize machine learning and predictive analytics to enhance customer insights., Develop and implement AI-driven customer engagement strategies., Lead and oversee customer success initiatives.","KPI Management, Process Improvement, CX Strategy, Team Leadership, Customer Success","11+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Predictive Analytics, Data Visualization, Operational Efficiency"
Customer Experience Manager,Protect AI,"New York, NY",Mentor and train teams in customer success best practices. This role requires expertise in Data Visualization and experience leading high-performing teams in a fast-paced environment.,"Lead and oversee customer success initiatives., Develop strategic roadmaps for customer experience improvement., Collaborate with cross-functional teams to improve customer experience.","AI & Machine Learning, Data Visualization, Team Leadership, CX Strategy, Process Improvement","6+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Operational Efficiency, AI & Machine Learning, Predictive Analytics"
Director of Customer Support,Craftable,"Seattle, WA",Utilize machine learning and predictive analytics to enhance customer insights. This role requires expertise in Customer Success and experience leading high-performing teams in a fast-paced environment.,"Enhance operational efficiencies using data analytics., Utilize machine learning and predictive analytics to enhance customer insights., Mentor and train teams in customer success best practices.","Customer Success, Operational Efficiency, Process Improvement, CX Strategy, CRM Platforms (Salesforce, Zendesk)","12+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Data Visualization, AI & Machine Learning, Predictive Analytics"
Senior AI Solutions Partner,Qlik,"Dallas, TX",Collaborate with cross-functional teams to improve customer experience. This role requires expertise in Team Leadership and experience leading high-performing teams in a fast-paced environment.,"Mentor and train teams in customer success best practices., Implement automation tools for workflow optimization., Collaborate with cross-functional teams to improve customer experience.","KPI Management, AI & Machine Learning, Predictive Analytics, Team Leadership, CX Strategy","11+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Customer Success, Team Leadership, Operational Efficiency"
Call Center Director,Signify Health,"Chicago, IL",Develop strategic roadmaps for customer experience improvement. This role requires expertise in Data Visualization and experience leading high-performing teams in a fast-paced environment.,"Collaborate with cross-functional teams to improve customer experience., Utilize machine learning and predictive analytics to enhance customer insights., Develop strategic roadmaps for customer experience improvement.","Team Leadership, Operational Efficiency, CRM Platforms (Salesforce, Zendesk), Customer Success, Process Improvement","14+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Predictive Analytics, CRM Platforms (Salesforce, Zendesk), Operational Efficiency"
Senior Customer Success Manager,Qlik,"Chicago, IL","Oversee call center operations and optimize support channels. This role requires expertise in CRM Platforms (Salesforce, Zendesk) and experience leading high-performing teams in a fast-paced environment.","Mentor and train teams in customer success best practices., Oversee call center operations and optimize support channels., Enhance operational efficiencies using data analytics.","Data Visualization, Operational Efficiency, CX Strategy, AI & Machine Learning, Predictive Analytics","9+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","KPI Management, CX Strategy, Process Improvement"
Director of Call Center Operations,MongoDB,"New York, NY",Mentor and train teams in customer success best practices. This role requires expertise in Customer Success and experience leading high-performing teams in a fast-paced environment.,"Develop and implement AI-driven customer engagement strategies., Utilize machine learning and predictive analytics to enhance customer insights., Mentor and train teams in customer success best practices.","AI & Machine Learning, Data Visualization, Operational Efficiency, KPI Management, Team Leadership","8+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CX Strategy, Predictive Analytics, Team Leadership"
Senior Customer Success Manager,CSC Serviceworks,"New York, NY",Lead and oversee customer success initiatives. This role requires expertise in Predictive Analytics and experience leading high-performing teams in a fast-paced environment.,"Implement automation tools for workflow optimization., Develop and implement AI-driven customer engagement strategies., Lead and oversee customer success initiatives.","KPI Management, CX Strategy, CRM Platforms (Salesforce, Zendesk), Process Improvement, AI & Machine Learning","9+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CRM Platforms (Salesforce, Zendesk), Operational Efficiency, Process Improvement"
Customer Experience Operations Manager,CSC Serviceworks,"Chicago, IL",Develop strategic roadmaps for customer experience improvement. This role requires expertise in Operational Efficiency and experience leading high-performing teams in a fast-paced environment.,"Lead and oversee customer success initiatives., Utilize machine learning and predictive analytics to enhance customer insights., Oversee call center operations and optimize support channels.","CRM Platforms (Salesforce, Zendesk), AI & Machine Learning, KPI Management, Process Improvement, Predictive Analytics","15+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","KPI Management, Operational Efficiency, Process Improvement"
Chief Operating Officer,Matheson,"Seattle, WA",Drive customer satisfaction and retention efforts. This role requires expertise in CX Strategy and experience leading high-performing teams in a fast-paced environment.,"Mentor and train teams in customer success best practices., Collaborate with cross-functional teams to improve customer experience., Develop strategic roadmaps for customer experience improvement.","Predictive Analytics, Team Leadership, Process Improvement, CX Strategy, KPI Management","7+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CX Strategy, KPI Management, Data Visualization"
Director of Customer Support,Stride Care,"Austin, TX",Enhance operational efficiencies using data analytics. This role requires expertise in KPI Management and experience leading high-performing teams in a fast-paced environment.,"Oversee call center operations and optimize support channels., Collaborate with cross-functional teams to improve customer experience., Develop strategic roadmaps for customer experience improvement.","AI & Machine Learning, CX Strategy, Operational Efficiency, CRM Platforms (Salesforce, Zendesk), Predictive Analytics","13+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","KPI Management, Predictive Analytics, CRM Platforms (Salesforce, Zendesk)"
Customer Experience Manager,Matheson,"Chicago, IL",Implement automation tools for workflow optimization. This role requires expertise in CX Strategy and experience leading high-performing teams in a fast-paced environment.,"Develop strategic roadmaps for customer experience improvement., Utilize machine learning and predictive analytics to enhance customer insights., Develop and implement AI-driven customer engagement strategies.","Predictive Analytics, CX Strategy, CRM Platforms (Salesforce, Zendesk), Process Improvement, Team Leadership","6+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Customer Success, Data Visualization, CRM Platforms (Salesforce, Zendesk)"
Customer Success Manager,Take Command Health,"Seattle, WA",Implement automation tools for workflow optimization. This role requires expertise in AI & Machine Learning and experience leading high-performing teams in a fast-paced environment.,"Drive customer satisfaction and retention efforts., Collaborate with cross-functional teams to improve customer experience., Develop and implement AI-driven customer engagement strategies.","Predictive Analytics, Process Improvement, Operational Efficiency, CX Strategy, Customer Success","6+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CX Strategy, AI & Machine Learning, Operational Efficiency"
Customer Experience Operations Manager,CSC Serviceworks,"San Francisco, CA",Develop and implement AI-driven customer engagement strategies. This role requires expertise in AI & Machine Learning and experience leading high-performing teams in a fast-paced environment.,"Develop and implement AI-driven customer engagement strategies., Collaborate with cross-functional teams to improve customer experience., Mentor and train teams in customer success best practices.","Customer Success, KPI Management, CX Strategy, CRM Platforms (Salesforce, Zendesk), Operational Efficiency","15+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Team Leadership, CRM Platforms (Salesforce, Zendesk), Operational Efficiency"
Customer Success Manager,Behavioral Health Group,"Austin, TX",Oversee call center operations and optimize support channels. This role requires expertise in Team Leadership and experience leading high-performing teams in a fast-paced environment.,"Develop and implement AI-driven customer engagement strategies., Collaborate with cross-functional teams to improve customer experience., Utilize machine learning and predictive analytics to enhance customer insights.","AI & Machine Learning, Data Visualization, KPI Management, Predictive Analytics, Process Improvement","12+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Team Leadership, Operational Efficiency, Process Improvement"
Customer Experience Operations Manager,Amazon Web Services,"New York, NY",Enhance operational efficiencies using data analytics. This role requires expertise in Operational Efficiency and experience leading high-performing teams in a fast-paced environment.,"Develop and implement AI-driven customer engagement strategies., Implement automation tools for workflow optimization., Utilize machine learning and predictive analytics to enhance customer insights.","Customer Success, CRM Platforms (Salesforce, Zendesk), KPI Management, Data Visualization, Team Leadership","11+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Customer Success, CX Strategy, CRM Platforms (Salesforce, Zendesk)"
Head of Operations,Fort Health,"San Francisco, CA",Collaborate with cross-functional teams to improve customer experience. This role requires expertise in Data Visualization and experience leading high-performing teams in a fast-paced environment.,"Develop strategic roadmaps for customer experience improvement., Oversee call center operations and optimize support channels., Collaborate with cross-functional teams to improve customer experience.","CRM Platforms (Salesforce, Zendesk), KPI Management, Customer Success, AI & Machine Learning, Process Improvement","7+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CX Strategy, Team Leadership, Process Improvement"
Senior AI Solutions Partner,HappyCo,"New York, NY","Oversee call center operations and optimize support channels. This role requires expertise in CRM Platforms (Salesforce, Zendesk) and experience leading high-performing teams in a fast-paced environment.","Enhance operational efficiencies using data analytics., Implement automation tools for workflow optimization., Utilize machine learning and predictive analytics to enhance customer insights.","Team Leadership, Operational Efficiency, CRM Platforms (Salesforce, Zendesk), Process Improvement, AI & Machine Learning","12+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","AI & Machine Learning, Process Improvement, KPI Management"
Call Center Director,Fort Health,"New York, NY",Mentor and train teams in customer success best practices. This role requires expertise in CX Strategy and experience leading high-performing teams in a fast-paced environment.,"Enhance operational efficiencies using data analytics., Develop strategic roadmaps for customer experience improvement., Drive customer satisfaction and retention efforts.","KPI Management, Operational Efficiency, Data Visualization, CRM Platforms (Salesforce, Zendesk), Predictive Analytics","5+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Predictive Analytics, CRM Platforms (Salesforce, Zendesk), AI & Machine Learning"
Call Center Director,Protect AI,"Dallas, TX",Enhance operational efficiencies using data analytics. This role requires expertise in Data Visualization and experience leading high-performing teams in a fast-paced environment.,"Develop and implement AI-driven customer engagement strategies., Lead and oversee customer success initiatives., Implement automation tools for workflow optimization.","Customer Success, Team Leadership, Operational Efficiency, Process Improvement, KPI Management","6+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Customer Success, Process Improvement, Predictive Analytics"
Senior Customer Success Manager,HappyCo,"Dallas, TX",Lead and oversee customer success initiatives. This role requires expertise in Team Leadership and experience leading high-performing teams in a fast-paced environment.,"Implement automation tools for workflow optimization., Utilize machine learning and predictive analytics to enhance customer insights., Develop and implement AI-driven customer engagement strategies.","AI & Machine Learning, CX Strategy, CRM Platforms (Salesforce, Zendesk), Operational Efficiency, Team Leadership","14+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Operational Efficiency, AI & Machine Learning, Team Leadership"
Infusion Customer Service Manager,MongoDB,"San Francisco, CA","Oversee call center operations and optimize support channels. This role requires expertise in CRM Platforms (Salesforce, Zendesk) and experience leading high-performing teams in a fast-paced environment.","Develop strategic roadmaps for customer experience improvement., Mentor and train teams in customer success best practices., Implement automation tools for workflow optimization.","AI & Machine Learning, Team Leadership, KPI Management, Predictive Analytics, Process Improvement","6+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CX Strategy, Customer Success, KPI Management"
Data Scientist - AI Department,Protect AI,"Austin, TX",Utilize machine learning and predictive analytics to enhance customer insights. This role requires expertise in CX Strategy and experience leading high-performing teams in a fast-paced environment.,"Implement automation tools for workflow optimization., Drive customer satisfaction and retention efforts., Oversee call center operations and optimize support channels.","Operational Efficiency, CRM Platforms (Salesforce, Zendesk), KPI Management, CX Strategy, Predictive Analytics","9+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CRM Platforms (Salesforce, Zendesk), Customer Success, KPI Management"
Head of Operations,Signify Health,"Dallas, TX",Mentor and train teams in customer success best practices. This role requires expertise in Operational Efficiency and experience leading high-performing teams in a fast-paced environment.,"Drive customer satisfaction and retention efforts., Utilize machine learning and predictive analytics to enhance customer insights., Implement automation tools for workflow optimization.","Process Improvement, Team Leadership, CX Strategy, AI & Machine Learning, CRM Platforms (Salesforce, Zendesk)","14+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CRM Platforms (Salesforce, Zendesk), KPI Management, CX Strategy"
Director of Customer Support,OrthoTexas Physicians & Surgeons,"Chicago, IL",Lead and oversee customer success initiatives. This role requires expertise in Operational Efficiency and experience leading high-performing teams in a fast-paced environment.,"Utilize machine learning and predictive analytics to enhance customer insights., Implement automation tools for workflow optimization., Develop and implement AI-driven customer engagement strategies.","AI & Machine Learning, CRM Platforms (Salesforce, Zendesk), Process Improvement, KPI Management, Operational Efficiency","14+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CRM Platforms (Salesforce, Zendesk), CX Strategy, Data Visualization"
Operations Manager,Medix Infusion,"Austin, TX","Develop strategic roadmaps for customer experience improvement. This role requires expertise in CRM Platforms (Salesforce, Zendesk) and experience leading high-performing teams in a fast-paced environment.","Implement automation tools for workflow optimization., Enhance operational efficiencies using data analytics., Drive customer satisfaction and retention efforts.","CRM Platforms (Salesforce, Zendesk), KPI Management, Team Leadership, Predictive Analytics, Process Improvement","8+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CRM Platforms (Salesforce, Zendesk), Predictive Analytics, Team Leadership"
Director of CX Operations,Protect AI,Remote,"Oversee call center operations and optimize support channels. This role requires expertise in CRM Platforms (Salesforce, Zendesk) and experience leading high-performing teams in a fast-paced environment.","Mentor and train teams in customer success best practices., Enhance operational efficiencies using data analytics., Develop and implement AI-driven customer engagement strategies.","Team Leadership, CRM Platforms (Salesforce, Zendesk), CX Strategy, KPI Management, Operational Efficiency","7+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Operational Efficiency, Data Visualization, AI & Machine Learning"
Director of CX Operations,MongoDB,"San Francisco, CA",Develop and implement AI-driven customer engagement strategies. This role requires expertise in AI & Machine Learning and experience leading high-performing teams in a fast-paced environment.,"Implement automation tools for workflow optimization., Develop strategic roadmaps for customer experience improvement., Enhance operational efficiencies using data analytics.","Process Improvement, AI & Machine Learning, Operational Efficiency, Team Leadership, CRM Platforms (Salesforce, Zendesk)","6+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Operational Efficiency, Data Visualization, CX Strategy"
Customer Experience Operations Manager,Fort Health,"San Francisco, CA",Develop strategic roadmaps for customer experience improvement. This role requires expertise in Process Improvement and experience leading high-performing teams in a fast-paced environment.,"Enhance operational efficiencies using data analytics., Mentor and train teams in customer success best practices., Develop and implement AI-driven customer engagement strategies.","Customer Success, Data Visualization, CX Strategy, Predictive Analytics, CRM Platforms (Salesforce, Zendesk)","13+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Process Improvement, Team Leadership, KPI Management"
