Job Title,Industry,Responsibilities,Qualifications,Location,Job Type,Salary Range
Director of Customer Experience,Finance,"Implement predictive analytics to enhance customer insights.; Integrate AI-based chatbots and automation solutions for enhanced support.; Streamline customer service operations, reducing costs while improving CSAT.","Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Understanding of machine learning models applied to customer success.; Track record of reducing operational costs while improving CX efficiency.","Austin, TX",Full-Time,$134k - $211k
Senior CX Manager,SaaS,Drive innovation in customer success strategies using AI and ML technologies.; Lead customer experience initiatives to improve engagement and retention.; Manage and mentor large customer support teams across multiple locations.,Ability to drive customer satisfaction metrics and VoC programs.; Strong leadership skills with experience managing 50+ team members.; Track record of reducing operational costs while improving CX efficiency.,"Denver, CO",Full-Time,$121k - $208k
Customer Insights Analyst,Telecommunications,"Collaborate cross-functionally with sales, marketing, and product teams.; Manage and mentor large customer support teams across multiple locations.; Implement predictive analytics to enhance customer insights.",Experience in implementing workflow automation for large-scale operations.; Proven expertise in AI-driven automation and predictive analytics.; Track record of reducing operational costs while improving CX efficiency.,"New York, NY",Full-Time,$145k - $195k
Vice President of Customer Success,Retail,"Manage and mentor large customer support teams across multiple locations.; Drive innovation in customer success strategies using AI and ML technologies.; Streamline customer service operations, reducing costs while improving CSAT.","Experience in implementing workflow automation for large-scale operations.; Excellent stakeholder management skills across cross-functional teams.; 10+ years of experience in customer experience, AI, or operations leadership.","Austin, TX",Part-Time,$106k - $154k
Director of Customer Experience,Finance,"Streamline customer service operations, reducing costs while improving CSAT.; Develop AI-driven automation strategies to optimize service workflows.; Lead customer experience initiatives to improve engagement and retention.","Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Understanding of machine learning models applied to customer success.; Excellent stakeholder management skills across cross-functional teams.","Dallas, TX",Contract,$142k - $169k
Senior CX Manager,Tech,"Drive innovation in customer success strategies using AI and ML technologies.; Collaborate cross-functionally with sales, marketing, and product teams.; Manage and mentor large customer support teams across multiple locations.",Track record of reducing operational costs while improving CX efficiency.; Proven expertise in AI-driven automation and predictive analytics.; Ability to drive customer satisfaction metrics and VoC programs.,"San Francisco, CA",Full-Time,$124k - $176k
Vice President of Customer Success,Tech,Manage and mentor large customer support teams across multiple locations.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Implement predictive analytics to enhance customer insights.,Experience in implementing workflow automation for large-scale operations.; Track record of reducing operational costs while improving CX efficiency.; Understanding of machine learning models applied to customer success.,"Los Angeles, CA",Remote,$83k - $231k
Vice President of Customer Success,Healthcare,"Collaborate cross-functionally with sales, marketing, and product teams.; Streamline customer service operations, reducing costs while improving CSAT.; Manage and mentor large customer support teams across multiple locations.","Experience in implementing workflow automation for large-scale operations.; Excellent stakeholder management skills across cross-functional teams.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","Austin, TX",Remote,$145k - $163k
Senior CX Manager,Telecommunications,Implement predictive analytics to enhance customer insights.; Manage and mentor large customer support teams across multiple locations.; Develop AI-driven automation strategies to optimize service workflows.,"Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Track record of reducing operational costs while improving CX efficiency.; Ability to drive customer satisfaction metrics and VoC programs.",Remote,Full-Time,$104k - $193k
Customer Service Operations Manager,Hospitality,"Lead customer experience initiatives to improve engagement and retention.; Develop strategies to optimize customer journey and retention metrics.; Streamline customer service operations, reducing costs while improving CSAT.","Track record of reducing operational costs while improving CX efficiency.; Experience in implementing workflow automation for large-scale operations.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","Austin, TX",Full-Time,$117k - $150k
Customer Experience Data Scientist,Consulting,"Develop strategies to optimize customer journey and retention metrics.; Implement predictive analytics to enhance customer insights.; Collaborate cross-functionally with sales, marketing, and product teams.",Strong leadership skills with experience managing 50+ team members.; Ability to drive customer satisfaction metrics and VoC programs.; Data-driven decision-making mindset with expertise in Power BI or Tableau.,Remote,Full-Time,$123k - $213k
Customer Insights Analyst,Consulting,Develop strategies to optimize customer journey and retention metrics.; Integrate AI-based chatbots and automation solutions for enhanced support.; Develop AI-driven automation strategies to optimize service workflows.,Experience in implementing workflow automation for large-scale operations.; Excellent stakeholder management skills across cross-functional teams.; Track record of reducing operational costs while improving CX efficiency.,"Dallas, TX",Remote,$108k - $189k
Senior CX Manager,Retail,Integrate AI-based chatbots and automation solutions for enhanced support.; Lead customer experience initiatives to improve engagement and retention.; Drive innovation in customer success strategies using AI and ML technologies.,"Data-driven decision-making mindset with expertise in Power BI or Tableau.; 10+ years of experience in customer experience, AI, or operations leadership.; Excellent stakeholder management skills across cross-functional teams.","New York, NY",Full-Time,$80k - $230k
AI Strategist,Consulting,Lead customer experience initiatives to improve engagement and retention.; Integrate AI-based chatbots and automation solutions for enhanced support.; Drive innovation in customer success strategies using AI and ML technologies.,"Understanding of machine learning models applied to customer success.; Experience in implementing workflow automation for large-scale operations.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","Austin, TX",Remote,$83k - $221k
Vice President of Customer Success,E-commerce,Develop AI-driven automation strategies to optimize service workflows.; Implement predictive analytics to enhance customer insights.; Drive innovation in customer success strategies using AI and ML technologies.,"Understanding of machine learning models applied to customer success.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; 10+ years of experience in customer experience, AI, or operations leadership.",Remote,Full-Time,$149k - $201k
AI Implementation Consultant,SaaS,Manage and mentor large customer support teams across multiple locations.; Drive innovation in customer success strategies using AI and ML technologies.; Develop AI-driven automation strategies to optimize service workflows.,"Proven expertise in AI-driven automation and predictive analytics.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; 10+ years of experience in customer experience, AI, or operations leadership.","Boston, MA",Full-Time,$114k - $214k
AI Strategist,Education,"Streamline customer service operations, reducing costs while improving CSAT.; Lead customer experience initiatives to improve engagement and retention.; Drive innovation in customer success strategies using AI and ML technologies.",Data-driven decision-making mindset with expertise in Power BI or Tableau.; Experience in implementing workflow automation for large-scale operations.; Track record of reducing operational costs while improving CX efficiency.,"San Francisco, CA",Remote,$113k - $203k
Head of Member Services,Hospitality,"Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Develop AI-driven automation strategies to optimize service workflows.; Collaborate cross-functionally with sales, marketing, and product teams.","Track record of reducing operational costs while improving CX efficiency.; 10+ years of experience in customer experience, AI, or operations leadership.; Data-driven decision-making mindset with expertise in Power BI or Tableau.","Dallas, TX",Contract,$114k - $229k
Customer Experience Data Scientist,Hospitality,"Manage and mentor large customer support teams across multiple locations.; Implement predictive analytics to enhance customer insights.; Streamline customer service operations, reducing costs while improving CSAT.","Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Experience in implementing workflow automation for large-scale operations.; Data-driven decision-making mindset with expertise in Power BI or Tableau.","Dallas, TX",Contract,$147k - $195k
Customer Insights Analyst,Education,Drive innovation in customer success strategies using AI and ML technologies.; Develop strategies to optimize customer journey and retention metrics.; Develop AI-driven automation strategies to optimize service workflows.,"Data-driven decision-making mindset with expertise in Power BI or Tableau.; Track record of reducing operational costs while improving CX efficiency.; 10+ years of experience in customer experience, AI, or operations leadership.","Denver, CO",Remote,$106k - $183k
AI Strategist,Consulting,"Collaborate cross-functionally with sales, marketing, and product teams.; Drive innovation in customer success strategies using AI and ML technologies.; Streamline customer service operations, reducing costs while improving CSAT.","Excellent stakeholder management skills across cross-functional teams.; 10+ years of experience in customer experience, AI, or operations leadership.; Understanding of machine learning models applied to customer success.","Los Angeles, CA",Remote,$89k - $228k
Vice President of Customer Success,Healthcare,"Lead customer experience initiatives to improve engagement and retention.; Collaborate cross-functionally with sales, marketing, and product teams.; Develop AI-driven automation strategies to optimize service workflows.","Data-driven decision-making mindset with expertise in Power BI or Tableau.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; 10+ years of experience in customer experience, AI, or operations leadership.","Dallas, TX",Remote,$150k - $193k
Customer Experience Data Scientist,SaaS,Lead customer experience initiatives to improve engagement and retention.; Integrate AI-based chatbots and automation solutions for enhanced support.; Develop strategies to optimize customer journey and retention metrics.,Strong leadership skills with experience managing 50+ team members.; Track record of reducing operational costs while improving CX efficiency.; Proven expertise in AI-driven automation and predictive analytics.,Remote,Contract,$147k - $164k
Vice President of Customer Success,Consulting,Implement predictive analytics to enhance customer insights.; Develop strategies to optimize customer journey and retention metrics.; Integrate AI-based chatbots and automation solutions for enhanced support.,Proven expertise in AI-driven automation and predictive analytics.; Excellent stakeholder management skills across cross-functional teams.; Track record of reducing operational costs while improving CX efficiency.,"Austin, TX",Remote,$132k - $171k
Vice President of Customer Success,Education,Develop strategies to optimize customer journey and retention metrics.; Develop AI-driven automation strategies to optimize service workflows.; Lead customer experience initiatives to improve engagement and retention.,Experience in implementing workflow automation for large-scale operations.; Understanding of machine learning models applied to customer success.; Strong leadership skills with experience managing 50+ team members.,Remote,Part-Time,$104k - $220k
Head of Member Services,Retail,Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Develop AI-driven automation strategies to optimize service workflows.; Lead customer experience initiatives to improve engagement and retention.,Proven expertise in AI-driven automation and predictive analytics.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Ability to drive customer satisfaction metrics and VoC programs.,Remote,Full-Time,$128k - $210k
Customer Service Operations Manager,Healthcare,Integrate AI-based chatbots and automation solutions for enhanced support.; Develop strategies to optimize customer journey and retention metrics.; Lead customer experience initiatives to improve engagement and retention.,Understanding of machine learning models applied to customer success.; Excellent stakeholder management skills across cross-functional teams.; Data-driven decision-making mindset with expertise in Power BI or Tableau.,"Dallas, TX",Remote,$109k - $165k
Director of Customer Experience,Telecommunications,"Integrate AI-based chatbots and automation solutions for enhanced support.; Develop AI-driven automation strategies to optimize service workflows.; Collaborate cross-functionally with sales, marketing, and product teams.",Data-driven decision-making mindset with expertise in Power BI or Tableau.; Track record of reducing operational costs while improving CX efficiency.; Understanding of machine learning models applied to customer success.,"Los Angeles, CA",Part-Time,$101k - $176k
AI Strategist,Healthcare,"Collaborate cross-functionally with sales, marketing, and product teams.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Drive innovation in customer success strategies using AI and ML technologies.",Data-driven decision-making mindset with expertise in Power BI or Tableau.; Experience in implementing workflow automation for large-scale operations.; Excellent stakeholder management skills across cross-functional teams.,"Austin, TX",Contract,$100k - $174k
Customer Experience Data Scientist,Telecommunications,"Streamline customer service operations, reducing costs while improving CSAT.; Develop strategies to optimize customer journey and retention metrics.; Integrate AI-based chatbots and automation solutions for enhanced support.","Proven expertise in AI-driven automation and predictive analytics.; Track record of reducing operational costs while improving CX efficiency.; 10+ years of experience in customer experience, AI, or operations leadership.","Boston, MA",Remote,$100k - $217k
Head of Member Services,SaaS,"Implement predictive analytics to enhance customer insights.; Streamline customer service operations, reducing costs while improving CSAT.; Drive innovation in customer success strategies using AI and ML technologies.","10+ years of experience in customer experience, AI, or operations leadership.; Excellent stakeholder management skills across cross-functional teams.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","Seattle, WA",Full-Time,$130k - $186k
Senior CX Manager,Tech,Integrate AI-based chatbots and automation solutions for enhanced support.; Develop AI-driven automation strategies to optimize service workflows.; Implement predictive analytics to enhance customer insights.,"Proven expertise in AI-driven automation and predictive analytics.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Experience in implementing workflow automation for large-scale operations.","Seattle, WA",Remote,$119k - $231k
AI Implementation Consultant,E-commerce,Develop AI-driven automation strategies to optimize service workflows.; Integrate AI-based chatbots and automation solutions for enhanced support.; Lead customer experience initiatives to improve engagement and retention.,"Track record of reducing operational costs while improving CX efficiency.; 10+ years of experience in customer experience, AI, or operations leadership.; Strong leadership skills with experience managing 50+ team members.","Los Angeles, CA",Part-Time,$116k - $213k
Vice President of Customer Success,Healthcare,"Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Develop AI-driven automation strategies to optimize service workflows.; Streamline customer service operations, reducing costs while improving CSAT.","Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Ability to drive customer satisfaction metrics and VoC programs.",Remote,Part-Time,$125k - $236k
Head of Member Services,SaaS,Develop AI-driven automation strategies to optimize service workflows.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Integrate AI-based chatbots and automation solutions for enhanced support.,"10+ years of experience in customer experience, AI, or operations leadership.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Ability to drive customer satisfaction metrics and VoC programs.","Austin, TX",Full-Time,$140k - $157k
Customer Service Operations Manager,E-commerce,"Collaborate cross-functionally with sales, marketing, and product teams.; Develop AI-driven automation strategies to optimize service workflows.; Lead customer experience initiatives to improve engagement and retention.",Experience in implementing workflow automation for large-scale operations.; Strong leadership skills with experience managing 50+ team members.; Excellent stakeholder management skills across cross-functional teams.,"Seattle, WA",Remote,$122k - $183k
AI Strategist,Tech,"Lead customer experience initiatives to improve engagement and retention.; Collaborate cross-functionally with sales, marketing, and product teams.; Develop strategies to optimize customer journey and retention metrics.",Experience in implementing workflow automation for large-scale operations.; Track record of reducing operational costs while improving CX efficiency.; Data-driven decision-making mindset with expertise in Power BI or Tableau.,"Boston, MA",Full-Time,$122k - $196k
Vice President of Customer Success,Healthcare,Integrate AI-based chatbots and automation solutions for enhanced support.; Lead customer experience initiatives to improve engagement and retention.; Drive innovation in customer success strategies using AI and ML technologies.,Proven expertise in AI-driven automation and predictive analytics.; Ability to drive customer satisfaction metrics and VoC programs.; Understanding of machine learning models applied to customer success.,"Chicago, IL",Remote,$132k - $227k
Customer Service Operations Manager,Consulting,"Drive innovation in customer success strategies using AI and ML technologies.; Collaborate cross-functionally with sales, marketing, and product teams.; Implement predictive analytics to enhance customer insights.","Understanding of machine learning models applied to customer success.; Ability to drive customer satisfaction metrics and VoC programs.; 10+ years of experience in customer experience, AI, or operations leadership.","Chicago, IL",Remote,$121k - $210k
AI Implementation Consultant,Hospitality,"Streamline customer service operations, reducing costs while improving CSAT.; Develop strategies to optimize customer journey and retention metrics.; Manage and mentor large customer support teams across multiple locations.","10+ years of experience in customer experience, AI, or operations leadership.; Excellent stakeholder management skills across cross-functional teams.; Experience in implementing workflow automation for large-scale operations.","Boston, MA",Part-Time,$150k - $163k
AI Strategist,Hospitality,Manage and mentor large customer support teams across multiple locations.; Implement predictive analytics to enhance customer insights.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.,"Understanding of machine learning models applied to customer success.; 10+ years of experience in customer experience, AI, or operations leadership.; Strong leadership skills with experience managing 50+ team members.","San Francisco, CA",Contract,$111k - $214k
Customer Insights Analyst,Education,Integrate AI-based chatbots and automation solutions for enhanced support.; Lead customer experience initiatives to improve engagement and retention.; Drive innovation in customer success strategies using AI and ML technologies.,"Understanding of machine learning models applied to customer success.; 10+ years of experience in customer experience, AI, or operations leadership.; Strong leadership skills with experience managing 50+ team members.",Remote,Contract,$132k - $215k
AI Implementation Consultant,Telecommunications,Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Manage and mentor large customer support teams across multiple locations.; Implement predictive analytics to enhance customer insights.,Track record of reducing operational costs while improving CX efficiency.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Understanding of machine learning models applied to customer success.,"Los Angeles, CA",Contract,$139k - $204k
Vice President of Customer Success,Education,Lead customer experience initiatives to improve engagement and retention.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Develop AI-driven automation strategies to optimize service workflows.,"Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Experience in implementing workflow automation for large-scale operations.; 10+ years of experience in customer experience, AI, or operations leadership.","San Francisco, CA",Remote,$118k - $172k
AI Implementation Consultant,Education,"Streamline customer service operations, reducing costs while improving CSAT.; Lead customer experience initiatives to improve engagement and retention.; Collaborate cross-functionally with sales, marketing, and product teams.",Understanding of machine learning models applied to customer success.; Excellent stakeholder management skills across cross-functional teams.; Ability to drive customer satisfaction metrics and VoC programs.,"Los Angeles, CA",Contract,$90k - $168k
Director of Customer Experience,Hospitality,"Streamline customer service operations, reducing costs while improving CSAT.; Implement predictive analytics to enhance customer insights.; Integrate AI-based chatbots and automation solutions for enhanced support.","Track record of reducing operational costs while improving CX efficiency.; Excellent stakeholder management skills across cross-functional teams.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","Austin, TX",Contract,$139k - $219k
Senior CX Manager,Healthcare,"Manage and mentor large customer support teams across multiple locations.; Collaborate cross-functionally with sales, marketing, and product teams.; Implement predictive analytics to enhance customer insights.",Proven expertise in AI-driven automation and predictive analytics.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Understanding of machine learning models applied to customer success.,"Austin, TX",Remote,$99k - $214k
Customer Insights Analyst,Tech,Lead customer experience initiatives to improve engagement and retention.; Drive innovation in customer success strategies using AI and ML technologies.; Integrate AI-based chatbots and automation solutions for enhanced support.,"10+ years of experience in customer experience, AI, or operations leadership.; Excellent stakeholder management skills across cross-functional teams.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","New York, NY",Remote,$95k - $222k
Senior CX Manager,Hospitality,"Collaborate cross-functionally with sales, marketing, and product teams.; Lead customer experience initiatives to improve engagement and retention.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.",Excellent stakeholder management skills across cross-functional teams.; Proven expertise in AI-driven automation and predictive analytics.; Strong leadership skills with experience managing 50+ team members.,"Dallas, TX",Remote,$138k - $209k
Vice President of Customer Success,Education,"Manage and mentor large customer support teams across multiple locations.; Collaborate cross-functionally with sales, marketing, and product teams.; Develop strategies to optimize customer journey and retention metrics.",Experience in implementing workflow automation for large-scale operations.; Understanding of machine learning models applied to customer success.; Excellent stakeholder management skills across cross-functional teams.,Remote,Remote,$96k - $153k
Customer Service Operations Manager,Hospitality,Integrate AI-based chatbots and automation solutions for enhanced support.; Drive innovation in customer success strategies using AI and ML technologies.; Develop AI-driven automation strategies to optimize service workflows.,Data-driven decision-making mindset with expertise in Power BI or Tableau.; Excellent stakeholder management skills across cross-functional teams.; Understanding of machine learning models applied to customer success.,"Denver, CO",Part-Time,$124k - $234k
Senior CX Manager,Retail,Lead customer experience initiatives to improve engagement and retention.; Integrate AI-based chatbots and automation solutions for enhanced support.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.,Excellent stakeholder management skills across cross-functional teams.; Understanding of machine learning models applied to customer success.; Proven expertise in AI-driven automation and predictive analytics.,"Boston, MA",Part-Time,$95k - $224k
